rf_code,legacy_code,level,indicator,domain,direction,baseline,current,target,date,reference_selected,selection_decision,selection_reason
RF01,I1,PDO,Broadband penetration in project areas (subscribers per 100 people),CONN,increase,0,0,25,2025-06-01,1,included,Primary non-disaggregated indicator; distinct access mechanism.
RF02,,PDO-subindicator,Female broadband subscribers (% of total subscribers),CONN,increase,0,0,35,2025-06-01,0,excluded_subgroup,Nested gender disaggregation of RF01; excluded from the reference mean to avoid double counting the same outcome.
RF03,I5,PDO,Price of a 2 GB mobile broadband basket (% of GNI per capita),AFFORD,decrease,6.4,3.3,3.0,2025-06-01,1,included,Primary non-disaggregated affordability indicator with explicit target.
RF04,I4,PDO,End users and public servants reached through targeted trainings on digital services,SKILL,increase,0,181,75000,2025-06-01,1,included,Primary non-disaggregated skills-reach indicator with explicit target.
RF05,,PDO-subindicator,Female end users and public servants reached through targeted trainings (%),SKILL,increase,0,20,50,2025-06-01,0,excluded_subgroup,Nested gender disaggregation of RF04; excluded to avoid double counting training reach.
RF06,,PDO,Beneficiaries who have adopted digital agriculture solutions,ADOPT,increase,0,0,35125,2025-06-01,0,excluded_overlap,Higher-level adoption total overlaps the component-level adoption indicators RF20 and RF22; retained for evidence-selection sensitivity.
RF07,,PDO-subindicator,Female beneficiaries among users of digital agriculture solutions (%),ADOPT,increase,0,0,40,2025-06-01,0,excluded_subgroup,Nested gender disaggregation of RF06.
RF08,,PDO,Productive partnerships established between agritech entrepreneurs and farmer organizations/farmers,ADOPT,increase,0,0,200,2025-06-01,0,excluded_construct,Measures partnership formation rather than realized use of a digital solution; retained for evidence-selection sensitivity.
RF09,,PDO-subindicator,Productive partnerships established with female farmers,ADOPT,increase,0,0,10,2025-06-01,0,excluded_subgroup,Nested gender disaggregation of RF08.
RF10,I6,Intermediate,Draft laws prepared and submitted to the Prime Minister's office,TRUST,increase,0,1,3,2025-03-01,1,included,Primary non-disaggregated regulatory-readiness output with explicit target.
RF11,,Intermediate-CRI,People using broadband internet,CONN,increase,0,0,337500,2025-06-01,0,excluded_overlap,CRI access outcome overlaps RF01 and the connectivity mechanism already represented by penetration/deployment indicators; retained for sensitivity.
RF12,,Intermediate-CRI-subindicator,People using broadband internet - Youth,CONN,increase,0,0,145000,2025-06-01,0,excluded_subgroup,Nested CRI subgroup of RF11.
RF13,,Intermediate-CRI-subindicator,People using broadband internet - Female,CONN,increase,0,0,168000,2025-06-01,0,excluded_subgroup,Nested CRI subgroup of RF11.
RF14,,Intermediate-CRI,People using digitally enabled services,ADOPT,increase,0,0,35125,2025-06-01,0,excluded_duplicate,RF comments identify this indicator with beneficiaries adopting digital agriculture solutions (RF06); excluded as a duplicate.
RF15,,Intermediate-CRI-subindicator,People using digitally enabled services - Youth,ADOPT,increase,0,0,0,2025-06-01,0,excluded_degenerate,Closing target is zero; target-gap normalization is undefined because target equals baseline.
RF16,,Intermediate-CRI-subindicator,People using digitally enabled services - Female,ADOPT,increase,0,0,17500,2025-06-01,0,excluded_subgroup,Nested CRI subgroup of RF14.
RF17,I2,Intermediate,Broadband connections to key public entities established through the project,CONN,increase,0,0,200,2025-06-01,1,included,Distinct project-delivery mechanism with explicit target.
RF18,I3,Intermediate,Mobile sites deployed by the project,CONN,increase,0,0,120,2025-06-01,1,included,Distinct infrastructure-deployment mechanism with explicit target.
RF19,I7,Intermediate,Participating farmers using e-vouchers for agricultural inputs,ADOPT,increase,0,3692,35000,2024-11-15,1,included,Direct realized-use indicator with explicit target.
RF20,,Intermediate-subindicator,Participating female farmers using e-vouchers for agricultural inputs (%),ADOPT,increase,0,34,40,2024-11-15,0,excluded_subgroup,Nested gender disaggregation of RF19.
RF21,I8,Intermediate,Users of digital agritech solutions delivered by agritech entrepreneurs,ADOPT,increase,0,0,45000,2024-11-15,1,included,Direct realized-use indicator with explicit target.
RF22,I9,Intermediate,Public stakeholder consultations held,GOV,increase,0,1,5,2025-06-01,1,included,Direct participation/execution indicator with explicit target.
RF23,,Intermediate,Beneficiaries of digital skills training reporting satisfaction with the trainings (%),SKILL,increase,0,0,60,2025-06-01,0,excluded_conditional_ratio,Conditional quality ratio; survey denominator/sample size is not reported in the RF. Retained for evidence-selection sensitivity.
RF24,I10,Intermediate,Feedback received that is addressed and responded to within 30 days (%),GOV,increase,0,100,80,2025-06-01,0,excluded_conditional_ratio,Conditional GRM response ratio; number of feedback/grievance cases forming the denominator is not reported. Retained for evidence-selection sensitivity.
